Generic Name,Drug Class,Indications,Dosage Form,Strength,Route of Administration,Side Effects,Contraindications,Interaction warnings & Precautions,Storage Conditions,Pregnancy Category,Reference,Availability
Oxycodone,Opioid Agonist,Pain,Tablet,10 mg,Oral,Constipation,nausea,CNS depressants including alcohol and benzodiazepines increase sedation risk Life-threatening respiratory depression may occur.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (Opioid risk),Prescription
Oxymetazoline,Alpha Agonist,Nasal congestion,Spray,0.05%,Nasal,Rebound congestion,burning,MAOIs can cause hypertensive crisis Can cause rebound congestion (rhinitis medicamentosa) with prolonged use.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,No prescription required
Oxytetracycline,Tetracycline Antibiotic,Bacterial infections,Capsule,250 mg,Oral,Photosensitivity,nausea,Antacids and calcium supplements decrease absorption Can cause photosensitivity and tooth discoloration.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (Tooth discoloration risk),Prescription
Paclitaxel,Antimicrotubule Agent,Ovarian cancer,Solution,6 mg/mL,Intravenous,breast cancer,other cancers,Strong CYP3A4 or CYP2C8 inhibitors may increase levels Can cause severe hypersensitivity reactions myelosuppression and peripheral neuropathy.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Palbociclib,CDK4/6 Inhibitor,Breast cancer,Capsule,125 mg,Oral,Myelosuppression,fatigue,Strong CYP3A4 inhibitors may increase levels Can cause severe neutropenia and pulmonary embolism.,Room Temperature,Contraindicated (not allowed),No data; based on mechanism likely D,Prescription
Paliperidone,Atypical Antipsychotic,Schizophrenia,Tablet (ER),3 mg,Oral,Weight gain,tachycardia,Strong CYP3A4 or P-gp inducers may decrease levels Can cause QT prolongation and orthostatic hypotension.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Palonosetron,5-HT3 Antagonist,Chemotherapy-induced nausea/vomiting,Solution,0.25 mg/5 mL,Intravenous,Headache,constipation,No significant drug interactions Generally well-tolerated with constipation being the most common side effect.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Pamidronate,Bisphosphonate,Hypercalcemia of malignancy,Solution,90 mg,Intravenous,bone metastases,Flu-like symptoms,Nephrotoxic drugs may increase risk of renal impairment Can cause renal impairment and hypocalcemia.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Pantoprazole,Proton Pump Inhibitor,GERD,Tablet (DR),40 mg,Oral,erosive esophagitis,Headache,Can reduce absorption of drugs requiring gastric pH for absorption (eg ketoconazole) May increase risk of Clostridium difficile-associated diarrhea and bone fractures with long-term use.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Papaverine,Vasodilator,Visceral spasm,Tablet (ER),150 mg,Oral,sometimes erectile dysfunction,Hypotension,No significant drug interactions Can cause hepatic hypersensitivity with elevated LFTs.,Room Temperature,Animal studies have demonstrated safety,No data,Prescription
Paromomycin,Aminoglycoside Antibiotic,Intestinal amebiasis,Tablet,250 mg,Oral,Diarrhea,nausea,Other nephrotoxic or ototoxic drugs increase risk of toxicity Used for intestinal amebiasis not systemic infections.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Paroxetine,SSRI,Depression,Tablet,20 mg,Oral,anxiety disorders,Nausea,MAOIs can cause serotonin syndrome and strong inhibitors of CYP2D6 may increase levels May increase risk of bleeding especially with NSAIDs or warfarin.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information (Cardiac risk),Prescription
Pazopanib,Kinase Inhibitor,Renal cell carcinoma,Tablet,200 mg,Oral,soft tissue sarcoma,Diarrhea,Strong CYP3A4 inhibitors may increase levels and inducers may decrease levels Can cause hepatotoxicity and QT prolongation.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Pegfilgrastim,G-CSF Analog,Chemotherapy-induced neutropenia,Solution,6 mg/0.6 mL,Subcutaneous,Bone pain,headache,No significant drug interactions Can cause bone pain and splenic rupture.,Refrigerate,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Peginterferon Alfa-2a,Immunomodulator,Hepatitis B/C,Solution,180 mcg/1 mL,Subcutaneous,Psychiatric effects,flu-like symptoms,Theophylline clearance may be decreased Can cause severe psychiatric effects myelosuppression and autoimmunity.,Refrigerate,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Pegloticase,Urate Oxidase Enzyme,Refractory gout,Solution,8 mg/1 mL,Intravenous,Infusion reactions,gout flares,No significant drug interactions Can cause severe infusion reactions and anaphylaxis.,Refrigerate,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Pembrolizumab,PD-1 Inhibitor,Various cancers,Solution,100 mg/4 mL,Intravenous,Fatigue,rash,No significant drug interactions Can cause immune-mediated adverse reactions affecting any organ system.,Refrigerate,Animal studies have demonstrated safety,No data; potential for immune-mediated disorders in fetus,Prescription
Pemirolast,Mast Cell Stabilizer,Allergic conjunctivitis,Solution,0.10%,Ophthalmic,Headache,dry eyes,No significant drug interactions For ophthalmic use only may cause headache or rhinitis.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Penciclovir,Antiviral,Herpes labialis (cold sores),Cream,1%,Topical,Application site reaction,headache,No significant drug interactions For topical use only not for ophthalmic or oral use.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Penicillin G,Penicillin Antibiotic,Bacterial infections,Powder for Injection,5 million unit,Intravenous,Diarrhea,nausea,Probenecid may decrease excretion Serious and occasionally fatal hypersensitivity reactions have been reported.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Penicillin V,Penicillin Antibiotic,Bacterial infections,Tablet,500 mg,Oral,Diarrhea,nausea,Probenecid may decrease excretion Serious and occasionally fatal hypersensitivity reactions have been reported.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Pentamidine,Antiprotozoal,Pneumocystis jirovecii pneumonia (PCP),Powder for Injection,300 mg,Inhalation,Hypotension,hypoglycemia,Other nephrotoxic drugs increase risk of toxicity Can cause severe hypotension hypoglycemia and nephrotoxicity.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Pentazocine,Opioid Agonist-Antagonist,Pain,Tablet,50 mg,Oral,Dizziness,sedation,CNS depressants may enhance sedative effects Can cause withdrawal in patients dependent on other opioids.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information (Opioid risk),Prescription
Pentobarbital,Barbiturate,Sedation,Capsule,100 mg,Oral,insomnia,seizures,CNS depressants may enhance sedative effects Can cause respiratory depression and dependence.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Pentosan,Urinary Analgesic,Interstitial cystitis,Capsule,100 mg,Oral,Alopecia,nausea,Other anticoagulants may increase bleeding risk Can cause bleeding and alopecia.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Pentoxifylline,Xanthine Derivative,Intermittent claudication,Tablet (ER),400 mg,Oral,Nausea,dyspepsia,Antihypertensive drugs may have additive effects Can cause nausea and dizziness.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Perampanel,AMPA Receptor Antagonist,Seizures,Tablet,4 mg,Oral,Dizziness,somnolence,Strong CYP3A4 inducers may decrease efficacy Can cause serious neuropsychiatric events including aggression and hostility.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Perindopril,ACE Inhibitor,Hypertension,Tablet,4 mg,Oral,heart failure,Cough,NSAIDs may diminish the antihypertensive effect Lithium levels may be increased Risk of angioedema can occur at any time discontinue immediately.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information (ACE Inhibitor risk),Prescription
Permethrin,Scabicidal / Pediculicidal,Scabies,Cream,5%,Topical,lice,Pruritus,No significant drug interactions For topical use only if ingestion occurs can cause CNS effects.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,No prescription required
Perphenazine,Typical Antipsychotic,Psychotic disorders,Tablet,4 mg,Oral,Extrapyramidal symptoms,sedation,CNS depressants may enhance sedative effects Can cause extrapyramidal symptoms and neuroleptic malignant syndrome.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Phenazopyridine,Urinary Analgesic,Urinary tract pain,Tablet,200 mg,Oral,GI upset,headache,No significant drug interactions Can cause red-orange discoloration of urine and may stain clothing.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,No prescription required
Phenelzine,MAOI,Depression,Tablet,15 mg,Oral,Orthostatic hypotension,dry mouth,Tyramine-containing foods and serotonergic drugs can cause hypertensive crisis and serotonin syndrome Requires strict dietary restrictions to prevent hypertensive crisis.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Phenobarbital,Barbiturate,Seizures,Tablet,30 mg,Oral,sedation,Sedation,Induces CYP450 enzymes reducing levels of many drugs (eg oral contraceptives warfarin) Can cause respiratory depression and dependence.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Phentermine,Sympathomimetic Amine,Obesity (short-term),Tablet,37.5 mg,Oral,Insomnia,dry mouth,MAOIs can cause hypertensive crisis High potential for abuse and dependence.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Phenytoin,Anticonvulsant,Seizures,Capsule,100 mg,Oral,Gingival hyperplasia,nystagmus,Many drugs can increase or decrease phenytoin levels Can cause life-threatening dermatologic reactions like Stevens-Johnson syndrome.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (Fetal hydantoin syndrome risk),Prescription
Pilocarpine,Cholinergic,Glaucoma,Tablet,5 mg,Oral,xerostomia,Sweating,Other cholinergic agents can have additive effects Can cause blurred vision and sweating.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Pimavanserin,Serotonin Inverse Agonist,Parkinson's disease psychosis,Capsule,34 mg,Oral,QT prolongation,peripheral edema,Strong CYP3A4 inhibitors may increase levels and inducers may decrease levels Can prolong the QT interval.,Room Temperature,Animal studies have demonstrated safety,No data,Prescription
Pimecrolimus,Calcineurin Inhibitor,Atopic dermatitis,Cream,1%,Topical,Burning,headache,No significant drug interactions May increase risk of skin malignancies and lymphomas.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Pimozide,Typical Antipsychotic,Tourette's syndrome,Tablet,2 mg,Oral,Extrapyramidal symptoms,sedation,Strong CYP3A4 inhibitors are contraindicated due to risk of QT prolongation Can cause QT prolongation and extrapyramidal symptoms.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Pindolol,Beta-Blocker,Hypertension,Tablet,5 mg,Oral,Bradycardia,fatigue,Other drugs that lower heart rate or blood pressure can have additive effects Abrupt withdrawal may exacerbate angina pectoris or cause myocardial infarction.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information (Beta-blocker risk),Prescription
Pioglitazone,Thiazolidinedione,Type 2 diabetes,Tablet,30 mg,Oral,Weight gain,edema,Strong CYP2C8 inhibitors may increase levels Can cause or exacerbate congestive heart failure and bladder cancer.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Piperacillin-Tazobactam,Penicillin Antibiotic + Beta-Lactamase Inhibitor,Serious bacterial infections,Powder for Injection,3.375 g,Intravenous,Diarrhea,nausea,Probenecid may decrease excretion May cause diarrhea including Clostridium difficile-associated diarrhea.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
